"","kernel","cost","degree","error","dispersion"
"160","sigmoid",8,3,0.81017316017316,0.0667694247506499
"161","linear",9,3,0.828787878787879,0.087771089141274
"162","polynomial",9,3,0.893506493506493,0.0482899090797271
"163","radial",9,3,0.792207792207792,0.0645733068838801
"164","sigmoid",9,3,0.819264069264069,0.0706205112600669
"165","linear",10,3,0.833549783549784,0.0909689099786399
"166","polynomial",10,3,0.898268398268398,0.0517472469755876
"167","radial",10,3,0.801298701298701,0.0567908612938792
"168","sigmoid",10,3,0.823809523809524,0.0781102425890094
"169","linear",1e-04,4,0.945238095238095,0.0558410795935593
"170","polynomial",1e-04,4,0.94978354978355,0.045182308512071
"171","radial",1e-04,4,0.94978354978355,0.0500057779186881
"172","sigmoid",1e-04,4,0.945238095238095,0.0515663586789007
"173","linear",0.001,4,0.945238095238095,0.0558410795935593
"174","polynomial",0.001,4,0.94978354978355,0.045182308512071
"175","radial",0.001,4,0.94978354978355,0.0500057779186881
"176","sigmoid",0.001,4,0.945238095238095,0.0515663586789007
"177","linear",0.01,4,0.930952380952381,0.0386585715268142
"178","polynomial",0.01,4,0.94978354978355,0.045182308512071
"179","radial",0.01,4,0.94978354978355,0.0500057779186881
"180","sigmoid",0.01,4,0.945238095238095,0.0515663586789007
"181","linear",0.1,4,0.871212121212121,0.0624525456547771
"182","polynomial",0.1,4,0.936147186147186,0.0612914756749356
"183","radial",0.1,4,0.94978354978355,0.0500057779186881
"184","sigmoid",0.1,4,0.940692640692641,0.0526468155473016
"185","linear",1,4,0.88008658008658,0.0432804222112957
"186","polynomial",1,4,0.885064935064935,0.0614119612769305
"187","radial",1,4,0.88030303030303,0.0741079940202747
"188","sigmoid",1,4,0.851948051948052,0.0754318566477341
"189","linear",2,4,0.856493506493507,0.0713888414001324
"190","polynomial",2,4,0.88030303030303,0.0608294002079024
"191","radial",2,4,0.852380952380952,0.0461060978140895
"192","sigmoid",2,4,0.860606060606061,0.0628757970774746
"193","linear",3,4,0.838311688311688,0.0666367535946524
"194","polynomial",3,4,0.88008658008658,0.0528343504960021
"195","radial",3,4,0.842857142857143,0.0382762762889128
"196","sigmoid",3,4,0.837012987012987,0.0784550343228761
"197","linear",4,4,0.833766233766234,0.0728665721999421
"198","polynomial",4,4,0.875324675324675,0.0525082033126261
"199","radial",4,4,0.824891774891775,0.0498143870028411
"200","sigmoid",4,4,0.819047619047619,0.0470383058007217
"201","linear",5,4,0.824675324675325,0.0910349800611111
"202","polynomial",5,4,0.889177489177489,0.0486550472482031
"203","radial",5,4,0.815800865800866,0.0542177908869382
"204","sigmoid",5,4,0.814502164502165,0.0620494815248078
"205","linear",6,4,0.829004329004329,0.0946679334306304
"206","polynomial",6,4,0.893506493506493,0.0577903612252801
"207","radial",6,4,0.787878787878788,0.0668858798547001
"208","sigmoid",6,4,0.828571428571429,0.0689537299631354
"209","linear",7,4,0.833766233766234,0.0845345174189935
"210","polynomial",7,4,0.883982683982684,0.0547789652637495
"211","radial",7,4,0.792207792207792,0.0645733068838801
"212","sigmoid",7,4,0.814718614718615,0.0647841761418231
"213","linear",8,4,0.838311688311688,0.0848249837387166
"214","polynomial",8,4,0.879220779220779,0.0548416490526127
"215","radial",8,4,0.787445887445887,0.0686814117419548
"216","sigmoid",8,4,0.81017316017316,0.0667694247506499
"217","linear",9,4,0.828787878787879,0.087771089141274
"218","polynomial",9,4,0.879220779220779,0.0548416490526127
"219","radial",9,4,0.792207792207792,0.0645733068838801
"220","sigmoid",9,4,0.819264069264069,0.0706205112600669
"221","linear",10,4,0.833549783549784,0.0909689099786399
"222","polynomial",10,4,0.874675324675325,0.0539675787628202
"223","radial",10,4,0.801298701298701,0.0567908612938792
"224","sigmoid",10,4,0.823809523809524,0.0781102425890094
"225","linear",1e-04,5,0.945238095238095,0.0558410795935593
"226","polynomial",1e-04,5,0.94978354978355,0.045182308512071
"227","radial",1e-04,5,0.94978354978355,0.0500057779186881
"228","sigmoid",1e-04,5,0.945238095238095,0.0515663586789007
"229","linear",0.001,5,0.945238095238095,0.0558410795935593
"230","polynomial",0.001,5,0.94978354978355,0.045182308512071
"231","radial",0.001,5,0.94978354978355,0.0500057779186881
